tskey,ebcode,ebkey,sgkey,sgxlon,sgylat,sgelevation,sgname,affiliation,until,sgcomment
817,GLOBAL,1,91,342.50000,14.73333,27,Dakar / Yoff,Senegal,,"World Radiation Data Center, Solar radiation and radiation balance data, Voeikov Main Geophysical Observatory, St. Petersburg. Haefliger, M. (1989), Globalstrahlungsdaten in Afrika, Geographisches Institut der ETH Zurich."
819,GLOBAL,1,910,104.41667,43.58333,1469,Dalanzadgad,Mongolia,,"World Radiation Data Center (WRDC), Voeikov Main Geophysical Observatory, St. Petersburg."
820,DIRECT,2,910,104.41667,43.58333,1469,Dalanzadgad,Mongolia,,"World Radiation Data Center (WRDC), Voeikov Main Geophysical Observatory, St. Petersburg."
821,DIFFUS,3,910,104.41667,43.58333,1469,Dalanzadgad,Mongolia,,"World Radiation Data Center (WRDC), Voeikov Main Geophysical Observatory, St. Petersburg."
822,GLOBAL,1,2807,121.63333,38.90000,92,Dalian,China,,"China Meteorological Administration (2005), radiation data."
823,GLOBAL,1,92,3.25000,36.71667,25,Dar el Beida,Algeria,,"World Radiation Data Center, Solar radiation and radiation balance data, Voeikov Main Geophysical Observatory, St. Petersburg. Haefliger, M. (1989), Globalstrahlungsdaten in Afrika, Geographisches Institut der ETH Zurich."
824,GLOBAL,1,93,39.20000,-6.88333,55,Dar es Salaam,Tanzania,,"World Radiation Data Center, Solar radiation and radiation balance data, Voeikov Main Geophysical Observatory, St. Petersburg. Haefliger, M. (1989), Globalstrahlungsdaten in Afrika, Geographisches Institut der ETH Zurich."
825,GLOBAL,1,395,296.53333,44.60000,31,Dartmouth,Canada,,"World Radiation Data Center, Voeikov Main Geophysical Observatory, St. Petersburg;  Kiene, M. (1989), Globale Sonnenstrahlung in Kanada und USA, Geographisches Institut ETH, Federal Institute of Technology ETH, Zurich."
830,GLOBAL,1,2863,130.88333,-12.41667,31,Darwin Airport,Australia,,
831,DIRECT,2,2863,130.88333,-12.41667,31,Darwin Airport,Australia,,
832,DIFFUS,3,2863,130.88333,-12.41667,31,Darwin Airport,Australia,,
834,GLOBAL,1,1068,130.86667,-12.40000,31,Darwin Airport (old),Australia,,"World Radiation Data Center, Voeikov Main Geophysical Observatory, St. Petersburg; Bureau of Meteorology Australia (1963), Australian Radiation Records 1958-61, new records since approx. 1996, Director of Meteorology, Melbourne."
835,DIRECT,2,1068,130.86667,-12.40000,31,Darwin Airport (old),Australia,,"World Radiation Data Center, Voeikov Main Geophysical Observatory, St. Petersburg; Bureau of Meteorology Australia (1963), Australian Radiation Records 1958-61, new records since approx. 1996, Director of Meteorology, Melbourne."
836,DIFFUS,3,1068,130.86667,-12.40000,31,Darwin Airport (old),Australia,,"World Radiation Data Center, Voeikov Main Geophysical Observatory, St. Petersburg; Bureau of Meteorology Australia (1963), Australian Radiation Records 1958-61, new records since approx. 1996, Director of Meteorology, Melbourne."
826,GLOBAL,1,3857,130.89111,-12.42500,30,Darwin (BSRN),Australia,,BSRN data archive
827,DIRECT,2,3857,130.89111,-12.42500,30,Darwin (BSRN),Australia,,BSRN data archive
828,DIFFUS,3,3857,130.89111,-12.42500,30,Darwin (BSRN),Australia,,BSRN data archive
838,GLOBAL,1,3858,130.89250,-12.42389,32,Darwin Met Office (BSRN),Australia,,BSRN data archive
839,DIRECT,2,3858,130.89250,-12.42389,32,Darwin Met Office (BSRN),Australia,,BSRN data archive
840,DIFFUS,3,3858,130.89250,-12.42389,32,Darwin Met Office (BSRN),Australia,,BSRN data archive
842,GLOBAL,1,2787,113.33333,40.10000,1067,Datong,China,,"China Meteorological Administration (2005), radiation data."
843,DIFFUS,3,2787,113.33333,40.10000,1067,Datong,China,,"China Meteorological Administration (2005), radiation data."
846,GLOBAL,1,1614,238.25000,38.53333,15,"Davis, Sacramento",United States of America,,"Weather Bureau United States (1951), Climatological Data, National Summary, Annual Reports, US Weather Bureau."
847,GLOBAL,1,2111,9.81667,46.80000,1592,Davos,Switzerland,,"World Radiation Data Center (WRDC), Voeikov Main Geophysical Observatory, St. Petersburg."
848,GLOBAL,1,1187,9.85000,46.81667,1590,Davos-Dorf,Switzerland,,"World Radiation Data Center (WRDC), Voeikov Main Geophysical Observatory, St. Petersburg."
849,DIFFUS,3,1187,9.85000,46.81667,1590,Davos-Dorf,Switzerland,,"World Radiation Data Center (WRDC), Voeikov Main Geophysical Observatory, St. Petersburg."
851,GLOBAL,1,1569,9.81667,46.80000,1580,Davos-Platz,Switzerland,,"World Radiation Data Center, Voeikov Main Geophysical Obs., St. Petersburg; Robinson, G. D. (1964), Ann. Int. Geophys. Year, 32, 17-61; Ambrosetti, F. and P. Valko (1980), Strahlung 2. Teil, Beiheft zu den Annalen der Schweiz. Met. Anstalt."
852,DIFFUS,3,1569,9.81667,46.80000,1580,Davos-Platz,Switzerland,,"World Radiation Data Center, Voeikov Main Geophysical Obs., St. Petersburg; Robinson, G. D. (1964), Ann. Int. Geophys. Year, 32, 17-61; Ambrosetti, F. and P. Valko (1980), Strahlung 2. Teil, Beiheft zu den Annalen der Schweiz. Met. Anstalt."
856,GLOBAL,1,4535,358.93333,43.68333,31,Dax,France,,"WRDC online archive accessed Sept. 2020. World Radiation Data Centre, Solar radiation and radiation balance data, Voeikov Main Geophysical Observatory, St. Petersburg"
857,GLOBAL,1,2897,24.00000,-30.66667,0,De Aar (BSRN),South Africa,,
858,DIRECT,2,2897,24.00000,-30.66667,0,De Aar (BSRN),South Africa,,
859,DIFFUS,3,2897,24.00000,-30.66667,0,De Aar (BSRN),South Africa,,
866,GLOBAL,1,1607,35.25000,31.68333,-392,Dead Sea,Palestine (State of) - previously Occupied Palestinian Territory - previously Israel,2013 - 1999,"Ashbel, D. (1956), Global solar radiation and sunshine in Jerusalem, 4 publications with measm. from 1951-1962, Department of Climatology and Meteorology Jerusalem, Israel."
867,DIFFUS,3,1607,35.25000,31.68333,-392,Dead Sea,Palestine (State of) - previously Occupied Palestinian Territory - previously Israel,2013 - 1999,"Ashbel, D. (1956), Global solar radiation and sunshine in Jerusalem, 4 publications with measm. from 1951-1962, Department of Climatology and Meteorology Jerusalem, Israel."
861,GLOBAL,1,94,13.16667,-8.91667,53,De Belas,Angola,,"World Radiation Data Center, Solar radiation and radiation balance data, Voeikov Main Geophysical Observatory, St. Petersburg. Haefliger, M. (1989), Globalstrahlungsdaten in Afrika, Geographisches Institut der ETH Zurich."
862,GLOBAL,1,1381,5.18333,52.10000,40,De Bilt,Netherlands,,"World Radiation Data Center, Voeikov Main Geophysical Observatory, St. Petersburg; de Boer, H. J. (1962), Two applications for circumglobal radiation measured at De Bilt, Arch. Met. Geoph. Biokl., 12B, 241-253."
868,GLOBAL,1,1319,21.63333,47.50000,123,Debrecen,Hungary,,"World Radiation Data Center (WRDC), Voeikov Main Geophysical Observatory, St. Petersburg."
870,GLOBAL,1,4591,8.96667,39.35000,29,Decimomannu,Italy,,"WRDC online archive accessed Sept. 2020. World Radiation Data Centre, Solar radiation and radiation balance data, Voeikov Main Geophysical Observatory, St. Petersburg"
864,GLOBAL,1,1380,4.78333,52.91667,0,De Kooy,Netherlands,,"World Radiation Data Center (WRDC), Voeikov Main Geophysical Observatory, St. Petersburg."
865,DIFFUS,3,1380,4.78333,52.91667,0,De Kooy,Netherlands,,"World Radiation Data Center (WRDC), Voeikov Main Geophysical Observatory, St. Petersburg."
871,GLOBAL,1,1136,115.21667,-8.66667,6,Denpasar,Indonesia,,"World Radiation Data Center (WRDC), Voeikov Main Geophysical Observatory, St. Petersburg."
872,GLOBAL,1,3859,243.98194,36.62611,1007,Desert Rock (BSRN),United States of America,,"BSRN data archive, correction on 2021-SEP-7, previous stcomm wrong spelling dataarchive"
873,DIRECT,2,3859,243.98194,36.62611,1007,Desert Rock (BSRN),United States of America,,"BSRN data archive, correction on 2021-SEP-7, previous stcomm wrong spelling dataarchive"
874,DIFFUS,3,3859,243.98194,36.62611,1007,Desert Rock (BSRN),United States of America,,"BSRN data archive, correction on 2021-SEP-7, previous stcomm wrong spelling dataarchive"
876,GLOBAL,1,2375,243.98333,36.61667,1007,Desert Rock (SURFRAD),United States of America,,"Ohmura, A. and others (1998), Baseline Surface Radiation Network (BSRN/WRMC), a new precision radiometry for climate research, Bull.Amer.Meteor.Soc., 79, 2115-2136."
878,DIFFUS,3,2375,243.98333,36.61667,1007,Desert Rock (SURFRAD),United States of America,,"Ohmura, A. and others (1998), Baseline Surface Radiation Network (BSRN/WRMC), a new precision radiometry for climate research, Bull.Amer.Meteor.Soc., 79, 2115-2136."
881,GLOBAL,1,925,80.40000,73.50000,47,Dickson Is.,Russian Federation - previously USSR,1992,"World Radiation Data Center (WRDC), Voeikov Main Geophysical Observatory, St. Petersburg; Chernigovskii, N.T., and M. S. Marshunova (1965),  Klimat Sovietskoi Arktiki, Gidrometeoizdat, Leningrad/Petrograd."
882,DIRECT,2,925,80.40000,73.50000,47,Dickson Is.,Russian Federation - previously USSR,1992,"World Radiation Data Center (WRDC), Voeikov Main Geophysical Observatory, St. Petersburg; Chernigovskii, N.T., and M. S. Marshunova (1965),  Klimat Sovietskoi Arktiki, Gidrometeoizdat, Leningrad/Petrograd."
883,DIFFUS,3,925,80.40000,73.50000,47,Dickson Is.,Russian Federation - previously USSR,1992,"World Radiation Data Center (WRDC), Voeikov Main Geophysical Observatory, St. Petersburg; Chernigovskii, N.T., and M. S. Marshunova (1965),  Klimat Sovietskoi Arktiki, Gidrometeoizdat, Leningrad/Petrograd."
885,GLOBAL,1,2004,49.30000,-12.35000,105,Diego-Suarez,Madagascar,,"World Radiation Data Center (WRDC), Voeikov Main Geophysical Observatory, St. Petersburg."
886,GLOBAL,1,1251,5.08333,47.26667,222,Dijon,France,,"World Radiation Data Center (WRDC), Voeikov Main Geophysical Observatory, St. Petersburg."
887,GLOBAL,1,1155,125.58333,-8.58333,4,Dili,Timor-Leste - previously East Timor,2002,"World Radiation Data Center (WRDC), Voeikov Main Geophysical Observatory, St. Petersburg."
888,GLOBAL,1,4536,357.93333,48.58333,65,Dinard,France,,"WRDC online archive accessed Sept. 2020. World Radiation Data Centre, Solar radiation and radiation balance data, Voeikov Main Geophysical Observatory, St. Petersburg"
889,GLOBAL,1,1431,40.20000,37.91667,667,Diyarbakir,Turkey,,"World Radiation Data Center (WRDC), Voeikov Main Geophysical Observatory, St. Petersburg."
890,GLOBAL,1,1134,106.83333,-6.18333,25,Djakarta,Indonesia,,"World Radiation Data Center (WRDC), Voeikov Main Geophysical Observatory, St. Petersburg."
891,GLOBAL,1,95,43.15000,11.60000,3,Djibouti,Djibouti - previously French Afars and Issas,1977,"World Radiation Data Center, Solar radiation and radiation balance data, Voeikov Main Geophysical Observatory, St. Petersburg. Haefliger, M. (1989), Globalstrahlungsdaten in Afrika, Geographisches Institut der ETH Zurich."
892,GLOBAL,1,2083,12.21667,46.73333,1222,Dobbiaco,Italy,,"World Radiation Data Center (WRDC), Voeikov Main Geophysical Observatory, St. Petersburg."
893,GLOBAL,1,462,260.03333,37.76667,791,Dodge City,United States of America,,"World Radiation Data Center, Voeikov Main Geophysical Observatory, St. Petersburg;  Kiene, M. (1989), Globale Sonnenstrahlung in Kanada und USA, Geographisches Institut ETH, Federal Institute of Technology ETH, Zurich."
895,GLOBAL,1,96,35.76667,-6.16667,1119,Dodoma,Tanzania,,"World Radiation Data Center, Solar radiation and radiation balance data, Voeikov Main Geophysical Observatory, St. Petersburg. Haefliger, M. (1989), Globalstrahlungsdaten in Afrika, Geographisches Institut der ETH Zurich."
896,GLOBAL,1,97,30.48333,19.16667,225,Dongola,Sudan - previously Sudan,2011,"World Radiation Data Center, Solar radiation and radiation balance data, Voeikov Main Geophysical Observatory, St. Petersburg. Haefliger, M. (1989), Globalstrahlungsdaten in Afrika, Geographisches Institut der ETH Zurich."
897,GLOBAL,1,2800,109.98333,39.83333,1460,Dongsheng,China,,"China Meteorological Administration (2005), radiation data."
898,GLOBAL,1,98,359.95000,14.03333,276,Dori,Burkina Faso - previously Upper Volta,1984,"World Radiation Data Center, Solar radiation and radiation balance data, Voeikov Main Geophysical Observatory, St. Petersburg. Haefliger, M. (1989), Globalstrahlungsdaten in Afrika, Geographisches Institut der ETH Zurich."
899,GLOBAL,1,254,9.71667,4.01667,28,Douala,Cameroon,,"World Radiation Data Center, Voeikov Main Geophysical Obs., St. Petersburg; Haefliger, M. (1989), Globalstrahlungsdaten in Afrika, Geograph. Inst., ETH Zurich; Weather Bureau South Africa (1955), Quarterly Rad. Bulletin, Dep. of Transport."
900,GLOBAL,1,1425,36.38333,33.56667,679,Douma (Damascus),Syria,,"World Radiation Data Center (WRDC), Voeikov Main Geophysical Observatory, St. Petersburg."
903,GLOBAL,1,2617,13.75000,51.13333,226,Dresden-Klotzsche,Germany - previously German Democratic Republic - previously Germany,1990 - 1949,
904,DIFFUS,3,2617,13.75000,51.13333,226,Dresden-Klotzsche,Germany - previously German Democratic Republic - previously Germany,1990 - 1949,
901,GLOBAL,1,1198,13.68333,51.11667,271,Dresden /  Wahnsdorf,Germany - previously German Democratic Republic - previously Germany,1990 - 1949,"World Radiation Data Center (WRDC), Voeikov Main Geophysical Observatory, St. Petersburg."
902,DIFFUS,3,1198,13.68333,51.11667,271,Dresden /  Wahnsdorf,Germany - previously German Democratic Republic - previously Germany,1990 - 1949,"World Radiation Data Center (WRDC), Voeikov Main Geophysical Observatory, St. Petersburg."
905,GLOBAL,1,4631,55.33333,25.25000,8,Dubai Int.Arpt,United Arab Emirates,,"WRDC online archive accessed Sept. 2020. World Radiation Data Centre, Solar radiation and radiation balance data, Voeikov Main Geophysical Observatory, St. Petersburg"
906,GLOBAL,1,1332,353.75000,53.43333,85,Dublin Airport,Ireland,,"World Radiation Data Center (WRDC), Voeikov Main Geophysical Observatory, St. Petersburg."
907,DIFFUS,3,1332,353.75000,53.43333,85,Dublin Airport,Ireland,,"World Radiation Data Center (WRDC), Voeikov Main Geophysical Observatory, St. Petersburg."
908,GLOBAL,1,1683,353.66667,52.33333,20,"Dublin City (data source: Murphy, T.)",Ireland,,"Murphy, T. (1991), Meteorological Bulletin for Dublin City, School of Cosmic Physics, Dublin Institute for Advanced Studies, Unpublished manuscripts at WRC, Davos, from different years, Geophysics section."
918,GLOBAL,1,868,88.45000,22.65000,4,Dum Dum / Calcutta,India - previously India,1975,"World Radiation Data Center (WRDC), Voeikov Main Geophysical Observatory, St. Petersburg."
919,DIRECT,2,868,88.45000,22.65000,4,Dum Dum / Calcutta,India - previously India,1975,"World Radiation Data Center (WRDC), Voeikov Main Geophysical Observatory, St. Petersburg."
920,DIFFUS,3,868,88.45000,22.65000,4,Dum Dum / Calcutta,India - previously India,1975,"World Radiation Data Center (WRDC), Voeikov Main Geophysical Observatory, St. Petersburg."
922,GLOBAL,1,1463,140.01667,-66.66667,43,Dumont d'Urville,Antarctica - previously Antarctica - previously French Southern and Antarctic Territories,1983 - 1979,"World Radiation Data Center (WRDC), Voeikov Main Geophysical Observatory, St. Petersburg."
927,GLOBAL,1,1281,356.93333,56.45000,30,Dundee / Mylnefield,United Kingdom of Great Britain and Northern Ireland - previously United Kingdom of Great Britain and Northern Ireland,2006,"World Radiation Data Center, Voeikov Main Geophysical Observatory, St. Petersburg; Meteorological Office United Kingdom (1980), Solar radiation data for the United Kingdom 1951-75,Meteorological Office, Bracknell."
928,GLOBAL,1,99,20.81667,-7.40000,775,Dundo,Angola,,"World Radiation Data Center, Voeikov Main Geophysical Obs., St. Petersburg; Haefliger, M. (1989), Globalstrahlungsdaten in Afrika, Geograph. Inst., ETH Zurich; Weather Bureau South Africa (1955), Quarterly Rad. Bulletin, Dep. of Transport."
929,GLOBAL,1,2771,94.68333,40.15000,1139,Dunhuang,China,,"China Meteorological Administration (2005), radiation data."
930,DIFFUS,3,2771,94.68333,40.15000,1139,Dunhuang,China,,"China Meteorological Administration (2005), radiation data."
933,GLOBAL,1,1280,354.56667,56.46667,3,Dunstaffnage,United Kingdom of Great Britain and Northern Ireland - previously United Kingdom of Great Britain and Northern Ireland,2006,"World Radiation Data Center, Voeikov Main Geophysical Observatory, St. Petersburg; Meteorological Office United Kingdom (1980), Solar radiation data for the United Kingdom 1951-75,Meteorological Office, Bracknell."
934,GLOBAL,1,313,30.95000,-29.96667,8,Durban,South Africa,,"World Radiation Data Center, Voeikov Main Geophysical Obs., St. Petersburg; Haefliger, M. (1989), Globalstrahlungsdaten in Afrika, Geograph. Inst., ETH Zurich; Weather Bureau South Africa (1955), Quarterly Rad. Bulletin, Dep. of Transport."
947,GLOBAL,1,4639,331.97080,39.09110,15,Eastern North Atlantic (BSRN),Azores,,"Baseline Surface Radiation Network BSRN, online metadata https://wiki.pangaea.de/wiki/BSRN and https://dataportals.pangaea.de/bsrn/ accessed April 2021."
948,DIRECT,2,4639,331.97080,39.09110,15,Eastern North Atlantic (BSRN),Azores,,"Baseline Surface Radiation Network BSRN, online metadata https://wiki.pangaea.de/wiki/BSRN and https://dataportals.pangaea.de/bsrn/ accessed April 2021."
949,DIFFUS,3,4639,331.97080,39.09110,15,Eastern North Atlantic (BSRN),Azores,,"Baseline Surface Radiation Network BSRN, online metadata https://wiki.pangaea.de/wiki/BSRN and https://dataportals.pangaea.de/bsrn/ accessed April 2021."
951,GLOBAL,1,1596,359.21667,51.38333,73,Easthampstead,United Kingdom of Great Britain and Northern Ireland - previously United Kingdom of Great Britain and Northern Ireland,2006,"Meteorological Office United Kingdom (1980), Solar radiation data for the United Kingdom 1951-75,Meteorological Office, Bracknell."
952,DIFFUS,3,1596,359.21667,51.38333,73,Easthampstead,United Kingdom of Great Britain and Northern Ireland - previously United Kingdom of Great Britain and Northern Ireland,2006,"Meteorological Office United Kingdom (1980), Solar radiation data for the United Kingdom 1951-75,Meteorological Office, Bracknell."
943,GLOBAL,1,1595,0.91667,52.45000,21,East Harling,United Kingdom of Great Britain and Northern Ireland - previously United Kingdom of Great Britain and Northern Ireland,2006,"Meteorological Office United Kingdom (1980), Solar radiation data for the United Kingdom 1951-75,Meteorological Office, Bracknell."
944,GLOBAL,1,1615,275.53333,42.75000,268,East Lansing,United States of America,,"Weather Bureau United States (1951), Climatological Data, National Summary, Annual Reports, US Weather Bureau."
945,GLOBAL,1,1597,0.45000,51.28333,37,East Malling,United Kingdom of Great Britain and Northern Ireland - previously United Kingdom of Great Britain and Northern Ireland,2006,"Meteorological Office United Kingdom (1980), Solar radiation data for the United Kingdom 1951-75,Meteorological Office, Bracknell."
946,GLOBAL,1,1616,289.33333,41.76667,15,East Wareham,United States of America,,"Weather Bureau United States (1951), Climatological Data, National Summary, Annual Reports, US Weather Bureau."
953,GLOBAL,1,3783,356.93333,56.45000,30,Edinburgh,United Kingdom of Great Britain and Northern Ireland - previously United Kingdom of Great Britain and Northern Ireland,2006,"World Radiation Data Center, Voeikov Main Geophysical Observatory, St. Petersburg"
954,GLOBAL,1,396,245.90000,53.55000,767,Edmonton / Stony Plain,Canada,,"World Radiation Data Center, Voeikov Main Geophysical Observatory, St. Petersburg;  Kiene, M. (1989), Globale Sonnenstrahlung in Kanada und USA, Geograph. Inst. ETH Zurich; Atmospheric Environment Service Canada (1960), Month. Rad. Summary."
955,DIFFUS,3,396,245.90000,53.55000,767,Edmonton / Stony Plain,Canada,,"World Radiation Data Center, Voeikov Main Geophysical Observatory, St. Petersburg;  Kiene, M. (1989), Globale Sonnenstrahlung in Kanada und USA, Geograph. Inst. ETH Zurich; Atmospheric Environment Service Canada (1960), Month. Rad. Summary."
957,GLOBAL,1,1379,6.58333,53.13333,4,Eelde,Netherlands,,"World Radiation Data Center (WRDC), Voeikov Main Geophysical Observatory, St. Petersburg."
958,GLOBAL,1,1598,358.43333,50.73333,16,Efford,United Kingdom of Great Britain and Northern Ireland - previously United Kingdom of Great Britain and Northern Ireland,2006,"Meteorological Office United Kingdom (1980), Solar radiation data for the United Kingdom 1951-75,Meteorological Office, Bracknell."
959,GLOBAL,1,2591,280.21667,44.23333,0,Egbert Care,Canada,,
960,DIFFUS,3,2591,280.21667,44.23333,0,Egbert Care,Canada,,
962,GLOBAL,1,2735,101.06667,41.95000,940,Ejina,China,,"China Meteorological Administration (2005), radiation data."
963,DIFFUS,3,2735,101.06667,41.95000,940,Ejina,China,,"China Meteorological Administration (2005), radiation data."
964,REFLEC,5,2735,101.06667,41.95000,940,Ejina,China,,"China Meteorological Administration (2005), radiation data."
967,GLOBAL,1,2492,60.63333,56.80000,237,Ekaterinburg,Russian Federation - previously USSR,1992,
968,DIRECT,2,2492,60.63333,56.80000,237,Ekaterinburg,Russian Federation - previously USSR,1992,
969,DIFFUS,3,2492,60.63333,56.80000,237,Ekaterinburg,Russian Federation - previously USSR,1992,
971,GLOBAL,1,982,288.51667,-33.03333,120,El 0livar,Chile,,"World Radiation Data Center (WRDC), Voeikov Main Geophysical Observatory, St. Petersburg."
972,GLOBAL,1,260,33.75000,31.11667,17,El Arish,Egypt,,"World Radiation Data Center, Solar radiation and radiation balance data, Voeikov Main Geophysical Observatory, St. Petersburg. Haefliger, M. (1989), Globalstrahlungsdaten in Afrika, Geographisches Institut der ETH Zurich."
973,DIRECT,2,260,33.75000,31.11667,17,El Arish,Egypt,,"World Radiation Data Center, Solar radiation and radiation balance data, Voeikov Main Geophysical Observatory, St. Petersburg. Haefliger, M. (1989), Globalstrahlungsdaten in Afrika, Geographisches Institut der ETH Zurich."
974,DIFFUS,3,260,33.75000,31.11667,17,El Arish,Egypt,,"World Radiation Data Center, Solar radiation and radiation balance data, Voeikov Main Geophysical Observatory, St. Petersburg. Haefliger, M. (1989), Globalstrahlungsdaten in Afrika, Geographisches Institut der ETH Zurich."
991,GLOBAL,1,2089,10.40000,42.73333,396,Elba / Monte Calamita,Italy,,"World Radiation Data Center (WRDC), Voeikov Main Geophysical Observatory, St. Petersburg."
975,GLOBAL,1,986,289.31667,-33.56667,580,El Bosque,Chile,,"World Radiation Data Center (WRDC), Voeikov Main Geophysical Observatory, St. Petersburg."
977,GLOBAL,1,1617,244.33333,32.80000,4,El Centro,United States of America,,"Weather Bureau United States (1951), Climatological Data, National Summary, Annual Reports, US Weather Bureau."
992,GLOBAL,1,104,35.28333,0.53333,2120,Eldoret,Kenya,,"World Radiation Data Center, Solar radiation and radiation balance data, Voeikov Main Geophysical Observatory, St. Petersburg. Haefliger, M. (1989), Globalstrahlungsdaten in Afrika, Geographisches Institut der ETH Zurich."
978,GLOBAL,1,101,25.33333,13.61667,733,El Fasher,Sudan - previously Sudan,2011,"World Radiation Data Center, Voeikov Main Geophysical Obs., St. Petersburg; Haefliger, M. (1989), Globalstrahlungsdaten in Afrika, Geograph. Inst., ETH Zurich; Weather Bureau South Africa (1955), Quarterly Rad. Bulletin, Dep. of Transport."
993,GLOBAL,1,3653,283.75000,38.30000,4,Elizabeth City State Univ.,United States of America,,
994,DIFFUS,3,3653,283.75000,38.30000,4,Elizabeth City State Univ.,United States of America,,
988,GLOBAL,1,102,30.53333,25.45000,78,El-Kharga,Egypt,,"World Radiation Data Center, Solar radiation and radiation balance data, Voeikov Main Geophysical Observatory, St. Petersburg. Haefliger, M. (1989), Globalstrahlungsdaten in Afrika, Geographisches Institut der ETH Zurich."
989,DIFFUS,3,102,30.53333,25.45000,78,El-Kharga,Egypt,,"World Radiation Data Center, Solar radiation and radiation balance data, Voeikov Main Geophysical Observatory, St. Petersburg. Haefliger, M. (1989), Globalstrahlungsdaten in Afrika, Geographisches Institut der ETH Zurich."
996,GLOBAL,1,397,279.58333,43.65000,376,Elora Research Stn.,Canada,,"World Radiation Data Center, Voeikov Main Geophysical Observatory, St. Petersburg;  Kiene, M. (1989), Globale Sonnenstrahlung in Kanada und USA, Geographisches Institut ETH, Federal Institute of Technology ETH, Zurich."
981,GLOBAL,1,463,253.60000,31.80000,1205,El Paso,United States of America,,"World Radiation Data Center, Voeikov Main Geophysical Observatory, St. Petersburg;  Kiene, M. (1989), Globale Sonnenstrahlung in Kanada und USA, Geographisches Institut ETH, Federal Institute of Technology ETH, Zurich."
982,GLOBAL,1,3824,282.05000,-1.50000,950,El Puyo,Ecuador,,"World Radiation Data Center, Voeikov Main Geophysical Observatory, St. Petersburg"
983,GLOBAL,1,103,35.85000,14.21667,510,El Showak,Sudan - previously Sudan,2011,"World Radiation Data Center, Solar radiation and radiation balance data, Voeikov Main Geophysical Observatory, St. Petersburg. Haefliger, M. (1989), Globalstrahlungsdaten in Afrika, Geographisches Institut der ETH Zurich."
984,GLOBAL,1,967,291.95000,-22.35000,4320,El Tatio,Chile,,"World Radiation Data Center (WRDC), Voeikov Main Geophysical Observatory, St. Petersburg."
985,GLOBAL,1,4505,289.30000,-30.16667,2154,El Tololo,Chile,,"WRDC online archive accessed Sept. 2020. World Radiation Data Centre, Solar radiation and radiation balance data, Voeikov Main Geophysical Observatory, St. Petersburg"
986,DIFFUS,3,4505,289.30000,-30.16667,2154,El Tololo,Chile,,"WRDC online archive accessed Sept. 2020. World Radiation Data Centre, Solar radiation and radiation balance data, Voeikov Main Geophysical Observatory, St. Petersburg"
990,GLOBAL,1,2620,288.35000,8.63333,103,El-Vigia,Venezuela,,
987,GLOBAL,1,981,289.71667,-32.68333,2475,El Yeso,Chile,,"World Radiation Data Center (WRDC), Voeikov Main Geophysical Observatory, St. Petersburg."
998,GLOBAL,1,464,245.15000,39.28333,1907,Ely / Yelland,United States of America,,"World Radiation Data Center, Voeikov Main Geophysical Observatory, St. Petersburg;  Kiene, M. (1989), Globale Sonnenstrahlung in Kanada und USA, Geographisches Institut ETH, Federal Institute of Technology ETH, Zurich."
1000,GLOBAL,1,1260,6.50000,44.56667,871,Embrun,France,,"World Radiation Data Center (WRDC), Voeikov Main Geophysical Observatory, St. Petersburg."
1001,GLOBAL,1,2783,103.33333,29.51667,3047,Emeishan,China,,"China Meteorological Administration (2005), radiation data."
1002,DIFFUS,3,2783,103.33333,29.51667,3047,Emeishan,China,,"China Meteorological Administration (2005), radiation data."
1004,GLOBAL,1,105,32.61667,0.05000,1155,Entebbe,Uganda,,"World Radiation Data Center, Solar radiation and radiation balance data, Voeikov Main Geophysical Observatory, St. Petersburg. Haefliger, M. (1989), Globalstrahlungsdaten in Afrika, Geographisches Institut der ETH Zurich."
1005,GLOBAL,1,4537,6.45000,48.20000,317,Epinal,France,,"WRDC online archive accessed Sept. 2020. World Radiation Data Centre, Solar radiation and radiation balance data, Voeikov Main Geophysical Observatory, St. Petersburg"
1006,GLOBAL,1,2753,111.96667,43.65000,965,Erlianhaote,China,,"China Meteorological Administration (2005), radiation data."
1007,DIFFUS,3,2753,111.96667,43.65000,965,Erlianhaote,China,,"China Meteorological Administration (2005), radiation data."
1010,GLOBAL,1,1283,356.80000,55.31667,242,Eskdalemuir,United Kingdom of Great Britain and Northern Ireland - previously United Kingdom of Great Britain and Northern Ireland,2006,"World Radiation Data Center, Voeikov Main Geophysical Observatory, St. Petersburg; Meteorological Office United Kingdom (1980), Solar radiation data for the United Kingdom 1951-75,Meteorological Office, Bracknell."
1011,DIFFUS,3,1283,356.80000,55.31667,242,Eskdalemuir,United Kingdom of Great Britain and Northern Ireland - previously United Kingdom of Great Britain and Northern Ireland,2006,"World Radiation Data Center, Voeikov Main Geophysical Observatory, St. Petersburg; Meteorological Office United Kingdom (1980), Solar radiation data for the United Kingdom 1951-75,Meteorological Office, Bracknell."
1014,GLOBAL,1,2075,121.88333,-33.81667,25,Esperance,Australia,,"World Radiation Data Center (WRDC), Voeikov Main Geophysical Observatory, St. Petersburg."
1015,DIFFUS,3,2075,121.88333,-33.81667,25,Esperance,Australia,,"World Radiation Data Center (WRDC), Voeikov Main Geophysical Observatory, St. Petersburg."
